Rank,Visual magnitude (mV),Proper name[6],Bayer designation,Distance (ly),Spectral type
0,−26.74,Sun,,0.000015823820,G2 V
1,−1.46,Sirius,α CMa,8.6,"A0mA1 Va, DA2"
2,−0.74,Canopus,α Car,310,A9 II
3,−0.27 (0.01 + 1.33),Rigil Kentaurus & Toliman,α Cen,4.4,"G2 V, K1 V"
4,−0.05,Arcturus,α Boo,37,K0 III
5,0.03 (−0.02–0.07var),Vega,α Lyr,25,A0 Va
6,0.08 (0.03–0.16var),Capella,α Aur,43,"K0 III, G1 III"
7,0.13 (0.05–0.18var),Rigel,β Ori,860,B8 Ia
8,0.34,Procyon,α CMi,11,F5 IV-V
9,0.46 (0.40–0.46var),Achernar,α Eri,139,B6 Vep
10,0.50 (0.0–1.6var),Betelgeuse,α Ori,700,M1-M2 Ia-ab
11,0.61,Hadar,β Cen,390,B1 III
12,0.76,Altair,α Aql,17,A7 V
13,0.76 (1.33 + 1.73),Acrux,α Cru,320,"B0.5 IV, B1 V"
14,0.86 (0.75–0.95var),Aldebaran,α Tau,65,K5 III
15,0.96 (0.6–1.6var),Antares,α Sco,550,"M1.5 Iab-Ib, B2.5 V"
16,0.97 (0.97–1.04var),Spica,α Vir,250,"B1 III-IV, B2 V"
17,1.14,Pollux,β Gem,34,K0 III
18,1.16,Fomalhaut,α PsA,25,A3 V
19,1.25 (1.21–1.29var),Deneb,α Cyg,2615,A2 Ia
20,1.25 (1.23–1.31var),Mimosa,β Cru,280,"B0.5 III, B2 V"
21,1.39,Regulus,α Leo,79,B8 IVn
22,1.50,Adhara,ε CMa,430,B2 II
23,1.62,Shaula,λ Sco,570,B2 IV
24,1.62 (1.98 + 2.97),Castor,α Gem,52,"A1 V, Am"
25,1.64,Gacrux,γ Cru,88,M3.5 III
26,1.64,Bellatrix,γ Ori,240,B2 III
27,1.65,Elnath,β Tau,130,B7 III
28,1.69,Miaplacidus,β Car,110,A1 III
29,1.69 (1.64–1.74var),Alnilam,ε Ori,2000,B0 Ia
30,1.72 (1.81–1.87var + 4.27),,γ Vel,840,"WC8, O7.5III"
31,1.74,Alnair,α Gru,100,B6 V
32,1.77,Alioth,ε UMa,81,A1 III-IVp kB9
33,1.77,Alnitak,ζ Ori,820,"O9.5 Iab, B1 IV, B0 III"
34,1.79,Dubhe,α UMa,120,"K0 III, F0 V"
35,1.80,Mirfak,α Per,590,F5 Ib
36,1.82,Wezen,δ CMa,1800,F8 Ia
37,1.84,Sargas,θ Sco,270,F0 II
38,1.85,Kaus Australis,ε Sgr,140,B9.5 III
39,1.86,Avior,ε Car,630,"K3 III, B2 Vp"
40,1.86,Alkaid,η UMa,100,B3 V
